Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z
2024-03-02 16:01:12.181,0 days 01:57:29.750000,,28.96333333333334,0 days 00:00:00,10885,295,7,99,False,12,interpolation,0.0027263939442650487,5.051678705675743e-07,OnTrack,-354,1403,-157
2024-03-02 16:01:12.400,0 days 01:57:29.969000,,28.96333333333334,0 days 00:00:00.219000,10618,296,8,99,False,12,car,18.01833333333333,0.0033385795549909086,OnTrack,-369,1506,-158
2024-03-02 16:01:12.519,0 days 01:57:30.088000,,28.96333333333334,0 days 00:00:00.338000,10650,297,8,99,False,12,pos,27.885030036602203,0.005166759291675563,OnTrack,-366,1584,-159
2024-03-02 16:01:12.600,0 days 01:57:30.169000,14,28.96333333333334,0 days 00:00:00.419000,10682,299,8,99,False,12,car,34.629444444444445,0.006416417827559842,OnTrack,-362,1647,-159
2024-03-02 16:01:12.739,0 days 01:57:30.308000,14,28.65222222222222,0 days 00:00:00.558000,10688,300,8,99,False,12,pos,46.24903953136229,0.008569388464566044,OnTrack,-357,1766,-159
2024-03-02 16:01:12.760,0 days 01:57:30.329000,14,28.341111111111104,0 days 00:00:00.579000,10695,301,8,99,False,12,car,48.007222222222225,0.008895158483193952,OnTrack,-356,1783,-158
2024-03-02 16:01:12.920,0 days 01:57:30.489000,14,27.674444444444426,0 days 00:00:00.739000,10741,302,8,99,False,12,car,61.42944444444445,0.011382134157617544,OnTrack,-350,1917,-158
2024-03-02 16:01:12.999,0 days 01:57:30.568000,14,27.259629629629615,0 days 00:00:00.818000,10792,303,8,99,False,12,pos,68.0970137329587,0.01261755422096704,OnTrack,-348,1984,-159
2024-03-02 16:01:13.159,0 days 01:57:30.728000,14,26.844814814814804,0 days 00:00:00.978000,10844,304,8,99,False,12,pos,81.67106882873021,0.01513266269313777,OnTrack,-342,2119,-159
2024-03-02 16:01:13.200,0 days 01:57:30.769000,14,26.429999999999993,0 days 00:00:01.019000,10896,305,8,99,False,12,car,85.15166666666667,0.015777575436503613,OnTrack,-340,2151,-158
2024-03-02 16:01:13.359,0 days 01:57:30.928000,14,25.846666666666664,0 days 00:00:01.178000,10918,305,8,99,False,12,pos,98.64974291856042,0.01827860594651827,OnTrack,-336,2289,-159
2024-03-02 16:01:13.480,0 days 01:57:31.049000,14,25.263333333333335,0 days 00:00:01.299000,10940,306,8,99,False,12,car,108.95166666666667,0.020187427998271272,OnTrack,-329,2439,-158
2024-03-02 16:01:13.619,0 days 01:57:31.188000,14,24.885555555555555,0 days 00:00:01.438000,10974,307,8,99,False,12,pos,120.84079348805456,0.022390339610476227,OnTrack,-322,2613,-159
2024-03-02 16:01:13.640,0 days 01:57:31.209000,14,24.507777777777775,0 days 00:00:01.459000,11008,308,8,99,False,12,car,122.64055555555557,0.02272381378543176,OnTrack,-321,2633,-159
2024-03-02 16:01:13.800,0 days 01:57:31.369000,14,23.7522222222222,0 days 00:00:01.619000,11041,309,8,99,False,12,car,136.3738888888889,0.025268434591381728,OnTrack,-316,2743,-159
2024-03-02 16:01:14.039,0 days 01:57:31.608000,14,23.052222222222213,0 days 00:00:01.858000,11068,309,8,99,False,12,pos,156.93778344521496,0.02907867589764789,OnTrack,-310,2871,-159
2024-03-02 16:01:14.080,0 days 01:57:31.649000,14,22.352222222222224,0 days 00:00:01.899000,11096,310,8,99,False,12,car,160.485,0.029735932284675762,OnTrack,-308,2904,-158
2024-03-02 16:01:14.219,0 days 01:57:31.788000,14,21.685555555555567,0 days 00:00:02.038000,11131,311,8,99,False,12,pos,172.56854137940388,0.03197486656649045,OnTrack,-302,3027,-159
2024-03-02 16:01:14.399,0 days 01:57:31.968000,14,21.01888888888891,0 days 00:00:02.218000,11166,312,8,99,False,12,pos,188.30157062756948,0.034890006874658035,OnTrack,-297,3144,-159
2024-03-02 16:01:14.440,0 days 01:57:32.009000,14,20.352222222222252,0 days 00:00:02.259000,11202,314,8,99,False,12,car,191.885,0.035553973059444854,OnTrack,-295,3181,-158
2024-03-02 16:01:14.640,0 days 01:57:32.209000,14,19.241111111111138,0 days 00:00:02.459000,11203,315,8,99,False,12,car,209.385,0.03879651170780343,OnTrack,-284,3439,-157
2024-03-02 16:01:14.739,0 days 01:57:32.308000,14,18.385555555555584,0 days 00:00:02.558000,11243,316,8,99,False,12,pos,218.10749820968277,0.04041268528238257,OnTrack,-280,3547,-157
2024-03-02 16:01:14.920,0 days 01:57:32.489000,14,17.53000000000003,0 days 00:00:02.739000,11283,318,8,99,False,12,car,234.1183333333333,0.04337929966415022,OnTrack,-275,3659,-157
2024-03-02 16:01:15.099,0 days 01:57:32.668000,14,16.9466666666667,0 days 00:00:02.918000,11296,318,8,99,False,12,pos,249.92731743808025,0.04630851348991755,OnTrack,-272,3759,-158
2024-03-02 16:01:15.120,0 days 01:57:32.689000,14,16.363333333333372,0 days 00:00:02.939000,11309,318,8,99,False,12,car,251.785,0.04665271963296935,OnTrack,-271,3775,-158
2024-03-02 16:01:15.359,0 days 01:57:32.928000,14,15.385555555555598,0 days 00:00:03.178000,11348,319,8,99,False,12,pos,273.0048522054923,0.050584501969470244,OnTrack,-262,4025,-158
2024-03-02 16:01:15.440,0 days 01:57:33.009000,14,14.407777777777824,0 days 00:00:03.259000,11388,320,8,99,False,12,car,280.2294444444444,0.051923131658237885,OnTrack,-258,4113,-157
2024-03-02 16:01:16.240,0 days 01:57:33.809000,14,9.074444444444453,0 days 00:00:04.059000,11517,324,8,99,False,12,car,352.2294444444444,0.06526386209719888,OnTrack,-231,4913,-156
2024-03-02 16:01:16.359,0 days 01:57:33.928000,14,8.274444444444441,0 days 00:00:04.178000,11527,324,8,99,False,12,pos,362.94144024441107,0.0672486655476244,OnTrack,-228,5001,-156
2024-03-02 16:01:16.480,0 days 01:57:34.049000,14,7.47444444444443,0 days 00:00:04.299000,11538,324,8,99,False,12,car,373.82944444444445,0.06926608122888718,OnTrack,-225,5080,-155
2024-03-02 16:01:16.680,0 days 01:57:34.249000,14,6.141111111111172,0 days 00:00:04.499000,11537,324,8,99,False,12,car,391.8294444444444,0.07260126383862742,OnTrack,-220,5211,-155
2024-03-02 16:01:16.699,0 days 01:57:34.268000,14,5.630000000000052,0 days 00:00:04.518000,11525,324,8,99,False,12,pos,393.539508446279,0.07291811804531972,OnTrack,-220,5226,-155
2024-03-02 16:01:16.919,0 days 01:57:34.488000,14,5.118888888888932,0 days 00:00:04.738000,11513,324,8,99,False,12,pos,413.33945942856667,0.0765868098336439,OnTrack,-214,5425,-153
